CRS,DAC,CODE,DESC,Mapped to UN System Function
,110,110,Education,Development
,111,111,"Education, Level Unspecified",Development
11110,,11110,Education policy and administrative management,Development
11120,,11120,Education facilities and training,Development
11130,,11130,Teacher training,Development
11182,,11182,Educational research,Development
,112,112,Basic Education,Development
11220,,11220,Primary education,Development
11230,,11230,Basic life skills for adults,Development
11231,,11231,Basic life skills for youth,Development
11232,,11232,Primary education equivalent for adults,Development
11240,,11240,Early childhood education,Development
11250,,11250,School feeding,Development
11260,,11260,Lower secondary education,Development
,113,113,Secondary Education,Development
11320,,11320,Secondary education,Development
11330,,11330,Vocational training,Development
,114,114,Post-Secondary Education,Development
11420,,11420,Higher education,Development
11430,,11430,Advanced technical and managerial training,Development
,120,120,Health,Development
,121,121,"Health, General",Development
12110,,12110,Health policy and administrative management,Development
12181,,12181,Medical education/training,Development
12182,,12182,Medical research,Development
12191,,12191,Medical services,Development
,122,122,Basic Health,Development
12220,,12220,Basic health care,Development
12230,,12230,Basic health infrastructure,Development
12240,,12240,Basic nutrition,Development
12250,,12250,Infectious disease control,Development
12261,,12261,Health education,Development
12262,,12262,Malaria control,Development
12263,,12263,Tuberculosis control,Development
12264,,12264,COVID-19 control,Development
12281,,12281,Health personnel development,Development
12310,,12310,"NCDs control, general",Development
12320,,12320,Tobacco use control,Development
12330,,12330,Control of harmful use of alcohol and drugs,Development
12340,,12340,Promotion of mental health and well-being,Development
12350,,12350,Other prevention and treatment of NCDs,Development
12382,,12382,Research for prevention and control of NCDs,Development
,130,130,Population Policies/Programmes & Reproductive Health,Development
13010,,13010,Population policy and administrative management,Development
13020,,13020,Reproductive health care,Development
13030,,13030,Family planning,Development
13040,,13040,STD control including HIV/AIDS,Development
13081,,13081,Personnel development for population and reproductive health,Development
,140,140,Water Supply & Sanitation,Development
14010,,14010,Water sector policy and administrative management,Development
14015,,14015,Water resources conservation (including data collection),Development
14020,,14020,Water supply and sanitation - large systems,Development
14021,,14021,Water supply - large systems,Development
14022,,14022,Sanitation - large systems,Development
14030,,14030,Basic drinking water supply and basic sanitation,Development
14031,,14031,Basic drinking water supply,Development
14032,,14032,Basic sanitation,Development
14040,,14040,River basins' development,Development
14050,,14050,Waste management/disposal,Development
14081,,14081,Education and training in water supply and sanitation,Development
,150,150,Government & Civil Society,Development
,151,151,Government & Civil Society-general,Development
15110,,15110,Public sector policy and administrative management,Development
15111,,15111,Public finance management,Development
15112,,15112,Decentralisation and support to subnational government,Development
15113,,15113,Anti-corruption organisations and institutions,Development
15114,,15114,Domestic revenue mobilisation,Development
15125,,15125,Public Procurement,Development
15142,,15142,Macro-economic policy,Development
15130,,15130,Legal and judicial development,Development
15150,,15150,Democratic participation and civil society,Development
15151,,15151,Elections,Development
